
DATASET A
node_best	edge_best	node_avg	edge_avg
0.87	0.3	0.857507	0.227658
0.93	0.3	0.875225	0.250701
0.85	0.1	0.85009	0.209079
0.85	0.1	0.857237	0.209209
1	1	0.871501	0.237768
0.88	0.18	0.861882	0.229119
0.9	0.1	0.854685	0.222703
0.87	0.12	0.855776	0.213524
0.86	0.19	0.856146	0.244735
0.86	0.07	0.853413	0.222833
0.86	0.36	0.85038	0.218178
0.88	0.22	0.850591	0.232052
0.85	0.08	0.851361	0.221802
0.88	0.32	0.845065	0.226226
0.87	0.39	0.856396	0.224645
0.87	0.31	0.871161	0.243083
0.88	0.2	0.855215	0.236587
0.86	0.4	0.842593	0.2202
0.87	0.1	0.853043	0.219339
0.87	0.22	0.866236	0.210801
0.89	0.24	0.855055	0.227247
0.85	0.15	0.840851	0.215846
0.82	0.25	0.830731	0.215375
0.88	0.11	0.849019	0.223143
0.86	0.18	0.862142	0.228278
0.86	0.16	0.852953	0.220861
0.87	0.28	0.84975	0.233604
0.9	0.28	0.870701	0.231902
0.88	0.38	0.851401	0.215145
0.88	0.22	0.844434	0.214374
0.88	0.39	0.857938	0.225355
0.86	0.14	0.850611	0.220881
0.86	0.19	0.83952	0.214154
0.87	0.12	0.857177	0.227447
0.89	0.33	0.842803	0.228859
0.87	0.43	0.839169	0.217798
0.86	0.19	0.847778	0.220501
0.83	0.3	0.836887	0.214144
0.87	0.14	0.855005	0.202893
0.87	0.17	0.846346	0.225846
0.89	0.11	0.865696	0.223874
0.88	0.3	0.851461	0.222492
0.9	0.05	0.869289	0.245185
0.88	0.41	0.858018	0.229239
0.88	0.4	0.856977	0.197367
0.86	0.31	0.836156	0.229349
0.9	0.43	0.86965	0.245015
0.89	0.08	0.865395	0.242072
0.88	0.27	0.858559	0.221962
0.85	0.34	0.861471	0.217097
0.88	0.13	0.852943	0.222833
0.88	0.23	0.869069	0.217708
0.89	0.27	0.86045	0.217608
0.91	0.2	0.878969	0.236066
0.84	0.34	0.833333	0.213213
0.9	0.11	0.876987	0.235125
0.91	0.14	0.866857	0.236737
0.86	0.17	0.855155	0.23994
0.85	0.17	0.852462	0.228809
0.9	0.09	0.865055	0.238839
0.88	0.23	0.848499	0.233473
0.88	0.31	0.861201	0.232462
0.87	0.29	0.861321	0.21991
0.88	0.21	0.852713	0.233844
0.9	0.18	0.860661	0.244314
0.87	0.19	0.858539	0.216577
0.86	0.19	0.84978	0.220731
0.87	0.13	0.848879	0.217728
0.87	0.34	0.85976	0.210721
0.89	0.1	0.864875	0.218669
0.85	0.11	0.819309	0.212032
0.9	0.11	0.873844	0.237868
0.87	0.37	0.838458	0.245355
0.89	0.48	0.857347	0.227538
0.89	0.51	0.858779	0.236086
0.87	0.22	0.86004	0.249209
0.86	0.2	0.847257	0.228799
0.89	0.27	0.854294	0.22011
0.88	0.36	0.865355	0.2299
0.86	0.35	0.861592	0.223844
0.84	0.14	0.854074	0.221552
0.89	0.3	0.858749	0.239099
0.82	0.2	0.838929	0.222252
0.88	0.13	0.852443	0.220541
0.87	0.1	0.849019	0.216196
0.85	0.24	0.845816	0.214014
0.89	0.42	0.878248	0.250691
0.89	0.35	0.862392	0.23994
0.87	0.13	0.857357	0.215135
0.85	0.24	0.859359	0.219279
0.9	0.31	0.867067	0.249359
0.85	0.12	0.837057	0.206446
0.87	0.17	0.844565	0.216036
0.85	0.33	0.853103	0.233604
0.88	0.27	0.855485	0.21954
0.83	0.36	0.837818	0.222342
0.89	0.15	0.868088	0.244695
0.85	0.33	0.861011	0.22975
0.89	0.17	0.858298	0.234785
0.9	0.42	0.865836	0.233133
0.83	0.3	0.828038	0.235766
0.86	0.23	0.849439	0.214885
0.85	0.1	0.844995	0.222492
0.88	0.13	0.847828	0.233013
0.84	0.35	0.845726	0.238378
0.88	0.32	0.860941	0.233423
0.88	0.22	0.856316	0.234755
0.86	0.35	0.852412	0.20961
0.85	0.23	0.85051	0.228929
0.88	0.31	0.854214	0.228468
0.87	0.1	0.856667	0.21956
0.87	0.42	0.845776	0.220881
0.89	0.11	0.862322	0.221501
0.89	0.29	0.858709	0.226637
0.83	0.13	0.843854	0.226206
0.88	0.34	0.854404	0.215746
0.87	0.16	0.849009	0.227678
0.85	0.28	0.837157	0.232923
0.87	0.38	0.850931	0.231842
0.85	0.13	0.840871	0.235916
0.84	0.07	0.832673	0.22028
0.9	0.18	0.847347	0.225175
0.86	0.38	0.858869	0.236907
0.88	0.1	0.861572	0.222162
0.89	0.13	0.856537	0.245355
0.86	0.15	0.849229	0.217327
0.86	0.16	0.847377	0.228609
0.88	0.33	0.867898	0.235776
0.88	0.17	0.867718	0.236156
0.85	0.17	0.845626	0.209449
0.88	0.38	0.848909	0.221612
0.86	0.18	0.854585	0.223053
0.88	0.05	0.855065	0.230771
0.89	0.13	0.862653	0.234314
0.85	0.2	0.858779	0.231932
0.89	0.31	0.868709	0.236406
0.84	0.14	0.825055	0.201171
0.92	0.28	0.863153	0.243243
0.85	0.32	0.85025	0.233794
0.87	0.28	0.863564	0.229089
0.88	0.44	0.861331	0.226256
0.87	0.11	0.847007	0.201031
0.86	0.17	0.845155	0.21991
0.86	0.29	0.851902	0.224044
0.88	0.29	0.855746	0.225516
0.87	0.39	0.818549	0.218529
0.86	0.17	0.853714	0.21004
0.89	0.27	0.853574	0.221752
0.88	0.19	0.843293	0.21965
0.85	0.22	0.854935	0.202052
0.89	0.31	0.853243	0.228268
0.86	0.32	0.847227	0.221852
0.87	0.17	0.857808	0.235816
0.89	0.33	0.863814	0.228879
0.87	0.25	0.850911	0.232342
0.8	0.12	0.824014	0.194555
0.9	0.47	0.849399	0.228639
0.89	0.18	0.867528	0.234905
0.86	0.38	0.840881	0.209149
0.9	0.31	0.86015	0.228328
0.87	0.37	0.856086	0.233774
0.86	0.16	0.851692	0.230761
0.89	0.1	0.867137	0.223874
0.91	0.38	0.85958	0.234464
0.83	0.11	0.847768	0.213413
0.87	0.25	0.854595	0.208418
0.88	0.41	0.851602	0.226326
0.89	0.36	0.860771	0.231902
0.88	0.32	0.853463	0.228458
0.87	0.26	0.863594	0.243263
0.93	0.16	0.852282	0.228689
0.87	0.36	0.848719	0.211141
0.89	0.19	0.861512	0.223654
